 1   total words: 431,  unique words: 212
 2   total words: 445,  unique words: 278
 3   total words: 566,  unique words: 209
 4   total words: 1053,  unique words: 394
 5   total words: 546,  unique words: 300
 6   total words: 372,  unique words: 245
 7   total words: 429,  unique words: 227
 8   total words: 591,  unique words: 370
 9   total words: 462,  unique words: 262
 10  total words: 635,  unique words: 339
 11  total words: 454,  unique words: 305
 12  total words: 429,  unique words: 202
 13  total words: 377,  unique words: 182
 14  total words: 384,  unique words: 231
 15  total words: 326,  unique words: 231
 16  total words: 539,  unique words: 341
 17  total words: 476,  unique words: 240
 18  total words: 468,  unique words: 185
 19  total words: 477,  unique words: 281
 20  total words: 616,  unique words: 394
 21  total words: 365,  unique words: 235
 22  total words: 351,  unique words: 204
 23  total words: 199,  unique words: 151
 24  total words: 431,  unique words: 217
 25  total words: 318,  unique words: 220
 26  total words: 852,  unique words: 544
 27  total words: 316,  unique words: 218
 28  total words: 429,  unique words: 273
 29  total words: 586,  unique words: 283
 30  total words: 492,  unique words: 313
 31  total words: 350,  unique words: 213
 32  total words: 378,  unique words: 258
 33  total words: 519,  unique words: 330
 34  total words: 478,  unique words: 276
 35  total words: 398,  unique words: 200
 36  total words: 748,  unique words: 348
 37  total words: 454,  unique words: 238
 38  total words: 547,  unique words: 347
 39  total words: 397,  unique words: 252
 40  total words: 702,  unique words: 414
 41  total words: 845,  unique words: 453
 42  total words: 292,  unique words: 190
 43  total words: 359,  unique words: 255
 44  total words: 408,  unique words: 209
 45  total words: 550,  unique words: 167
 46  total words: 498,  unique words: 313
 47  total words: 535,  unique words: 369
 48  total words: 473,  unique words: 289
 49  total words: 472,  unique words: 198
 50  total words: 617,  unique words: 404
 51  total words: 566,  unique words: 348
 52  total words: 646,  unique words: 372
Processed all songs from the file: ../Tekstowo/songs/tekstowo_polski_hip_hop_klasyki_10-03-23.json
wcale          : 10
nasze          : 10
mną            : 10
czym           : 10
miejscu        : 10
powiedzieć     : 10
wierzysz       : 10
mówię          : 10
stąd           : 10
niech          : 10
później        : 10
mu             : 10
swój           : 10
albo           : 10
walka          : 10
bogiem         : 10
da             : 10
zrobić         : 10
głowę          : 10
odchodzi       : 10
nad            : 10
poza           : 10
wiele          : 10
wszystkich     : 10
zimny          : 10
jędker         : 10
sokół          : 10
przeszłość     : 10
zbyt           : 10
czemu          : 9
każdym         : 9
pół            : 9
rzeczy         : 9
nikogo         : 9
dzieci         : 9
samo           : 9
jakiś          : 9
jaki           : 9
gość           : 9
nasz           : 9
ulicy          : 9
swe            : 9
twoje          : 9
znam           : 9
pytaj          : 9
głowie         : 9
sposób         : 9
sens           : 9
oto            : 9
stronę         : 9
talent         : 9
trudno         : 9
iść            : 9
sami           : 9
zapomnienie    : 9
łączy          : 9
stać           : 9
słowo          : 9
zamiast        : 9
najlepszego    : 9
nocą           : 9
rzeczywistość  : 9
słów           : 9
hajsu          : 9
wóda           : 9
ponad          : 9
czerwona       : 9
przedstawia    : 9
aby            : 8
miłości        : 8
ciężko         : 8
tobie          : 8
pierwszy       : 8
mc             : 8
późno          : 8
browar         : 8
czekam         : 8
wreszcie       : 8
szczęście      : 8
kocham         : 8
jakieś         : 8
była           : 8
gram           : 8
parę           : 8
styl           : 8
be             : 8
lepsze         : 8
moją           : 8
dzięki         : 8
wole           : 8
robisz         : 8
wokół          : 8
niego          : 8
im             : 8
zanim          : 8
problem        : 8
drogę          : 8
upragniona     : 8
drogi          : 8
kolejny        : 8
tobą           : 8
ruszaj         : 8
która          : 8
siedzi         : 8
jakie          : 8
czuje          : 8
zdrowie        : 8
hemp           : 8
temu           : 8
krew           : 8
ciosem         : 8
hajs           : 8
innym          : 8
ciemnoo        : 8
głucha         : 8
sukienka       : 8
wyłączcie      : 8
funky          : 8
alilili        : 8
yo             : 7
świata         : 7
człowieku      : 7
chciał         : 7
znasz          : 7
będziesz       : 7
serce          : 7
szczęścia      : 7
obok           : 7
pewno          : 7
końcu          : 7
tą             : 7
drugi          : 7
wszędzie       : 7
daje           : 7
wale           : 7
prawda         : 7
dni            : 7
jednak         : 7
nanana         : 7
wypierdalaj    : 7
mej            : 7
dnie           : 7
kilka          : 7
twój           : 7
kogoś          : 7
koniec         : 7
naprawdę       : 7
swoich         : 7
h              : 7
s              : 7
k              : 7
miejsca        : 7
muzyka         : 7
czego          : 7
p              : 7
system         : 7
mniej          : 7
cel            : 7
swą            : 7
leży           : 7
niebywale      : 7
całkiem        : 7
jakby          : 7
nagle          : 7
wzrok          : 7
oczu           : 7
jesteśmy       : 7
robić          : 7
strachu        : 7
jadę           : 7
klub           : 7
działa         : 7
smak           : 7
dlaczego       : 7
dość           : 7
sama           : 7
gru            : 7
głos           : 7
