 1   total words: 319,  unique words: 126
 2   total words: 409,  unique words: 274
 3   total words: 360,  unique words: 184
 4   total words: 455,  unique words: 207
 5   total words: 450,  unique words: 239
 6   total words: 349,  unique words: 138
 7   total words: 410,  unique words: 205
 8   total words: 301,  unique words: 167
 9   total words: 708,  unique words: 461
 10  total words: 495,  unique words: 281
 11  total words: 423,  unique words: 214
 12  total words: 283,  unique words: 125
 13  total words: 409,  unique words: 196
 14  total words: 234,  unique words: 92
 15  total words: 454,  unique words: 216
 16  total words: 424,  unique words: 159
 17  total words: 381,  unique words: 191
 18  total words: 762,  unique words: 402
 19  total words: 246,  unique words: 142
 20  total words: 506,  unique words: 215
 21  total words: 588,  unique words: 358
 22  total words: 276,  unique words: 134
 23  total words: 384,  unique words: 224
 24  total words: 307,  unique words: 143
 25  total words: 410,  unique words: 192
 26  total words: 439,  unique words: 216
 27  total words: 363,  unique words: 146
Processed all songs from the file: ../Tekstowo/songs/tekstowo_rap_generacja_10-03-23.json
dwadzieścia    : 5
którzy         : 5
sercu          : 5
znać           : 5
muszę          : 5
oni            : 5
później        : 5
przychodzi     : 5
papier         : 5
idę            : 5
pracę          : 5
pieniądze      : 5
wers           : 5
spokój         : 5
hej            : 5
oczy           : 5
feelin         : 5
alright        : 5
nich           : 5
jesteśmy       : 5
poszarpany     : 5
żagle          : 5
skarbu         : 5
syreny         : 5
bracie         : 5
załogą         : 5
trapstar       : 5
millie         : 5
studio         : 5
autokar        : 5
parking        : 5
normalne       : 5
chłopaki       : 5
łysi           : 5
ubrani         : 5
płotem         : 5
czekają        : 5
fanki          : 5
błotem         : 5
nike           : 5
wrzucą         : 5
pralki         : 5
noszę          : 5
polsko         : 5
gonimy         : 5
sny            : 5
rakiety        : 5
elona          : 5
muska          : 5
upiory         : 5
śpią           : 5
poduszką       : 5
aleja          : 5
leży           : 5
międzyzdrojach : 5
tekst          : 5
pierdolę       : 5
lean           : 5
wolno          : 5
złe            : 5
myślisz        : 5
pomyślę        : 5
starych        : 5
ziomkach       : 5
ap             : 5
lej            : 5
brudne         : 5
hennessy       : 4
skoki          : 4
wszędzie       : 4
sto            : 4
stóp           : 4
blokiem        : 4
góry           : 4
złaź           : 4
mordo          : 4
pewnie         : 4
spluwał        : 4
kupiłem        : 4
sama           : 4
czujesz        : 4
dalej          : 4
jeden          : 4
zdjęcie        : 4
pisze          : 4
lecz           : 4
spać           : 4
jakoś          : 4
stało          : 4
każdego        : 4
czułem         : 4
ust            : 4
robić          : 4
gości          : 4
gra            : 4
brak           : 4
rośnie         : 4
zapomniałem    : 4
marek          : 4
maciek         : 4
marcin         : 4
kazimierz      : 4
podawałem      : 4
marii          : 4
mai            : 4
marcie         : 4
martynie       : 4
domofonem      : 4
pan            : 4
lubię          : 4
stan           : 4
każą           : 4
koszta         : 4
żadna          : 4
łza            : 4
żegnać         : 4
dnia           : 4
spróbować      : 4
we             : 4
drogę          : 4
